Sandbox logs:

Activities log:
day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;EMERALDS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;0;TOMATOES;2028;1;2026;2;2025;29;2029;31;;;;;2028.5;0.0
-1;100;EMERALDS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
-1;100;TOMATOES;2025;24;;;;;2028;2;2029;22;;;2026.5;0.0
-1;200;EMERALDS;9995;20;;;;;10005;20;;;;;10000.0;0.0
-1;200;TOMATOES;2025;22;;;;;2028;20;;;;;2026.5;0.0
-1;300;EMERALDS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
-1;300;TOMATOES;2025;31;;;;;2028;2;2029;29;;;2026.5;0.0
-1;400;EMERALDS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
-1;400;TOMATOES;2025;27;;;;;2028;27;;;;;2026.5;0.0
-1;500;EMERALDS;9995;30;;;;;10002;4;10005;30;;;9998.5;0.0
-1;500;TOMATOES;2025;30;;;;;2028;30;;;;;2026.5;0.0
-1;600;EMERALDS;10000;5;9995;25;;;10005;25;;;;;10002.5;0.0
-1;600;TOMATOES;2026;5;2025;31;;;2028;25;;;;;2027.0;0.0
-1;700;EMERALDS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-1;700;TOMATOES;2025;2;2024;23;;;2028;23;;;;;2026.5;0.0
-1;800;EMERALDS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-1;800;TOMATOES;2024;1;2023;29;;;2027;30;;;;;2025.5;0.0
-1;900;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;900;TOMATOES;2024;23;;;;;2027;23;;;;;2025.5;0.0
-1;1000;EMERALDS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-1;1000;TOMATOES;2024;26;;;;;2026;6;2027;26;;;2025.0;0.0
-1;1100;EMERALDS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;1100;TOMATOES;2025;6;2024;26;;;2027;2;2028;24;;;2026.0;0.0
-1;1200;EMERALDS;9995;21;;;;;9998;1;10005;21;;;9996.5;0.0
-1;1200;TOMATOES;2024;21;;;;;2026;8;2028;21;;;2025.0;0.0
-1;1300;EMERALDS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;0.0
-1;1300;TOMATOES;2024;31;;;;;2028;31;;;;;2026.0;0.0
-1;1400;EMERALDS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-1;1400;TOMATOES;2025;3;2024;25;;;2028;26;;;;;2026.5;0.0
-1;1500;EMERALDS;9995;27;;;;;10005;27;;;;;10000.0;0.0
-1;1500;TOMATOES;2024;27;;;;;2028;27;;;;;2026.0;0.0
-1;1600;EMERALDS;9995;29;;;;;10005;29;;;;;10000.0;0.0
-1;1600;TOMATOES;2024;29;;;;;2026;4;2028;29;;;2025.0;0.0
-1;1700;EMERALDS;9996;2;9995;20;;;10002;1;10004;2;10005;20;9999.0;0.0
-1;1700;TOMATOES;2024;22;;;;;2026;8;2028;22;;;2025.0;0.0
-1;1800;EMERALDS;10002;1;9996;1;9995;22;10004;1;10005;22;;;10003.0;0.0
-1;1800;TOMATOES;2024;23;;;;;2028;23;;;;;2026.0;0.0
-1;1900;EMERALDS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;0.0
-1;1900;TOMATOES;2024;29;;;;;2026;5;2027;29;;;2025.0;0.0
-1;2000;EMERALDS;9996;2;9995;24;;;9998;1;10004;2;10005;24;9997.0;0.0
-1;2000;TOMATOES;2024;26;;;;;2027;26;;;;;2025.5;0.0
-1;2100;EMERALDS;9996;2;9995;25;;;10002;3;10004;2;10005;25;9999.0;0.0
-1;2100;TOMATOES;2024;27;;;;;2027;2;2028;25;;;2025.5;0.0
-1;2200;EMERALDS;9998;8;9996;1;9995;24;10004;1;10005;24;;;10001.0;0.0
-1;2200;TOMATOES;2024;25;;;;;2026;7;2027;1;2028;24;2025.0;0.0
-1;2300;EMERALDS;9998;7;9996;2;9995;30;10004;2;10005;30;;;10001.0;0.0
-1;2300;TOMATOES;2024;32;;;;;2028;32;;;;;2026.0;0.0
-1;2400;EMERALDS;9995;29;;;;;10005;29;;;;;10000.0;0.0
-1;2400;TOMATOES;2024;29;;;;;2025;1;2028;29;;;2024.5;0.0
-1;2500;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;2500;TOMATOES;2025;2;2024;23;;;2027;1;2028;22;;;2026.0;0.0
-1;2600;EMERALDS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-1;2600;TOMATOES;2025;3;2024;23;;;2028;23;;;;;2026.5;0.0
-1;2700;EMERALDS;9998;6;9995;26;;;10005;26;;;;;10001.5;0.0
-1;2700;TOMATOES;2024;26;;;;;2027;26;;;;;2025.5;0.0
-1;2800;EMERALDS;9995;25;;;;;10005;25;;;;;10000.0;0.0
-1;2800;TOMATOES;2023;25;;;;;2027;25;;;;;2025.0;0.0
-1;2900;EMERALDS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-1;2900;TOMATOES;2023;26;;;;;2027;26;;;;;2025.0;0.0
-1;3000;EMERALDS;9998;1;9995;26;;;10005;26;;;;;10001.5;0.0
-1;3000;TOMATOES;2024;29;;;;;2027;26;;;;;2025.5;0.0
-1;3100;EMERALDS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;3100;TOMATOES;2023;26;;;;;2025;5;2026;26;;;2024.0;0.0
-1;3200;EMERALDS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;3200;TOMATOES;2023;23;;;;;2025;3;2026;23;;;2024.0;0.0
-1;3300;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;3300;TOMATOES;2023;32;;;;;2025;2;2026;32;;;2024.0;0.0
-1;3400;EMERALDS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
-1;3400;TOMATOES;2023;26;;;;;2026;26;;;;;2024.5;0.0
-1;3500;EMERALDS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-1;3500;TOMATOES;2023;26;;;;;2026;26;;;;;2024.5;0.0
-1;3600;EMERALDS;9995;21;;;;;9998;4;10005;21;;;9996.5;0.0
-1;3600;TOMATOES;2023;21;;;;;2026;21;;;;;2024.5;0.0
-1;3700;EMERALDS;10002;1;9996;1;9995;23;10004;1;10005;23;;;10003.0;0.0
-1;3700;TOMATOES;2023;27;;;;;2026;24;;;;;2024.5;0.0
-1;3800;EMERALDS;9996;2;9995;23;;;10002;10;10004;2;10005;23;9999.0;0.0
-1;3800;TOMATOES;2023;25;;;;;2026;25;;;;;2024.5;0.0
-1;3900;EMERALDS;9998;1;9996;1;9995;25;10004;1;10005;25;;;10001.0;0.0
-1;3900;TOMATOES;2023;28;;;;;2026;26;;;;;2024.5;0.0
-1;4000;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
-1;4000;TOMATOES;2023;32;;;;;2026;32;;;;;2024.5;0.0
-1;4100;EMERALDS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;0.0
-1;4100;TOMATOES;2023;29;;;;;2027;29;;;;;2025.0;0.0
-1;4200;EMERALDS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;0.0
-1;4200;TOMATOES;2023;26;;;;;2027;26;;;;;2025.0;0.0
-1;4300;EMERALDS;9995;22;;;;;9998;1;10000;6;10005;22;9996.5;0.0
-1;4300;TOMATOES;2023;29;;;;;2024;5;2026;22;;;2023.5;0.0
-1;4400;EMERALDS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-1;4400;TOMATOES;2023;30;;;;;2026;30;;;;;2024.5;0.0
-1;4500;EMERALDS;9996;1;9995;28;;;10002;10;10004;1;10005;28;9999.0;0.0
-1;4500;TOMATOES;2023;28;;;;;2026;29;;;;;2024.5;0.0
-1;4600;EMERALDS;9996;1;9995;29;;;10002;10;10004;1;10005;29;9999.0;0.0
-1;4600;TOMATOES;2023;30;;;;;2026;30;;;;;2024.5;0.0
-1;4700;EMERALDS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
